seed,observer,phase,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm
12902,O4R,A,1.1055424213409424,1.4953784942626953,2.0,0.908203125,0.4658203125,0.4423828125,0.2739110291004181,1.0000011920928955,1.0,0.90625,0.453125,0.453125,1.1389694013656573
12902,O4R,B,0.6013318300247192,2.574458360671997,3.0,0.7197265625,0.365234375,0.3544921875,1.194922685623169,1.0000007152557373,1.0,1.0,0.5,0.5,1.3376995904977187
12902,O4R,C,2.927213191986084,2.538818120956421,3.0,0.8564453125,0.4462890625,0.41015625,1.4547439813613892,1.0000007152557373,1.0,1.0,0.5,0.5,3.268769970898005
12902,O4M,A,1.0661367177963257,1.5241941213607788,2.0,0.90625,0.4658203125,0.4404296875,0.42642709612846375,1.000002145767212,1.0,0.9375,0.46875,0.46875,1.1482541397034354
12902,O4M,B,0.47039949893951416,2.760716676712036,3.0,0.572265625,0.28515625,0.287109375,1.2002403736114502,1.0000011920928955,1.0,1.0,0.5,0.5,1.2891286371225719
12902,O4M,C,1.3577240705490112,2.598489999771118,4.0,0.77734375,0.396484375,0.380859375,1.3534966707229614,1.000001072883606,1.0,0.96875,0.484375,0.484375,1.917124901879457
12902,O4D,A,1.0661367177963257,1.5241941213607788,2.0,0.90625,0.4658203125,0.4404296875,0.42642709612846375,1.000002145767212,1.0,0.9375,0.46875,0.46875,1.1482541397034354
12902,O4D,B,0.47039949893951416,2.760716676712036,3.0,0.572265625,0.28515625,0.287109375,1.2002403736114502,1.0000011920928955,1.0,1.0,0.5,0.5,1.2891286371225719
12902,O4D,C,1.4360113143920898,2.3252170085906982,3.0,0.8173828125,0.41796875,0.3994140625,1.3315731287002563,1.000001072883606,1.0,1.0,0.5,0.5,1.958370621751329
12955,O1,A,2.217942476272583,1.9335277080535889,3.0,0.9580078125,0.486328125,0.4716796875,0.9764376282691956,1.0000929832458496,1.0,0.96875,0.484375,0.484375,2.4233652778634363
12955,O1,B,12.872699737548828,1.2265180349349976,1.0,0.8974609375,0.453125,0.4443359375,0.5883749127388,1.00093674659729,1.0,1.0,0.5,0.5,12.886139203463156
12955,O1,C,12.518169403076172,1.2322032451629639,1.0,0.908203125,0.455078125,0.453125,0.3002193570137024,1.002221703529358,1.0,0.96875,0.484375,0.484375,12.52176891922376
12955,O3,A,1.4806206226348877,1.3169938325881958,2.0,0.91015625,0.4443359375,0.4658203125,0.3238578736782074,1.0000011920928955,1.0,0.9375,0.46875,0.46875,1.5156257290357313
12955,O3,B,1.3517265319824219,2.2587032318115234,3.0,0.6328125,0.298828125,0.333984375,1.1586053371429443,1.0000004768371582,1.0,1.0,0.5,0.5,1.7803176527017142
12955,O3,C,2.0886242389678955,2.2847447395324707,3.0,0.7978515625,0.404296875,0.3935546875,0.763279914855957,1.0000011920928955,1.0,0.9375,0.46875,0.46875,2.2237237778165566
12955,O4R,A,1.4821748733520508,1.3260589838027954,2.0,0.90625,0.44140625,0.46484375,0.3293117582798004,1.0000020265579224,1.0,0.9375,0.46875,0.46875,1.5183176839309689
